Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,b_0.5,2.9332405915686826,2.2300974040588404,2.8593431008397943,0.0
Sphere,b_1.0,0.7328893566762993,0.4180001966762793,0.6232378264540341,0.0
Sphere,b_1.5,0.14165388336467782,0.08957585326538874,0.1183707870093682,0.0
Sphere,b_2.0,0.054428035385086185,0.03897310588132137,0.04467172170253048,0.0
Sphere,b_2.5,0.055735181825421164,0.03774283282746356,0.04889098150642853,0.0
Rosenbrock,b_0.5,4452.649990208051,2462.83724545751,4490.348458691889,0.0
Rosenbrock,b_1.0,1218.2173467689236,885.5606987421702,1318.919561134708,0.0
Rosenbrock,b_1.5,543.5285103266693,345.47375722723916,550.9851074877166,0.0
Rosenbrock,b_2.0,359.5833182116033,264.57267700488006,295.8664732637328,0.0
Rosenbrock,b_2.5,229.5791390460494,206.99266885539194,117.65580637463657,0.0
Rastrigin,b_0.5,202.0479727184406,207.26074295641902,45.46864172670052,0.0
Rastrigin,b_1.0,188.46828519800505,184.61737724645315,42.1913314081684,0.0
Rastrigin,b_1.5,207.74101166914053,208.33966255801676,37.13089696132316,0.0
Rastrigin,b_2.0,202.47570275570203,205.80244998751698,36.776352773132466,0.0
Rastrigin,b_2.5,191.65041957500554,188.7279758300994,47.14982046465423,0.0
Schwefel,b_0.5,3026.9332151088843,2937.64132272187,946.721886014907,0.0
Schwefel,b_1.0,3270.567550926806,3268.816299957759,1250.0712869303572,0.0
Schwefel,b_1.5,3431.4439519638277,3195.2906661524985,1441.794945962993,0.0
Schwefel,b_2.0,3127.8408901922226,3095.8294491537554,1270.1271541067865,0.0
Schwefel,b_2.5,3468.6550539534455,3278.559261455289,1742.7576588581135,0.0
Ackley,b_0.5,19.303024332251905,19.333614496568664,0.5934348576774734,0.0
Ackley,b_1.0,19.197721876859827,19.185588114281494,0.4393154385230716,0.0
Ackley,b_1.5,19.107907744127875,19.19078775932432,0.45310322001067493,0.0
Ackley,b_2.0,19.003458482968938,19.141993619029574,0.5070343477414097,0.0
Ackley,b_2.5,19.08393014397971,19.059616853009018,0.459809727828849,0.0
Griewank,b_0.5,10.803220633556544,8.16318829721264,9.651318164412142,0.0
Griewank,b_1.0,3.166368078725126,2.6327530235691614,1.5218460629168844,0.0
Griewank,b_1.5,1.4339597488519407,1.3243973164650151,0.35892058440465197,0.0
Griewank,b_2.0,1.210111551991156,1.1596683968736692,0.16017189090621511,0.0
Griewank,b_2.5,1.187098901049929,1.1252297561048152,0.14746561254912,0.0
Michalewicz,b_0.5,-7.18613161965213,-7.397402076524539,1.0832963113093361,0.0
Michalewicz,b_1.0,-7.7528001903803405,-8.053589739335223,1.1575126433850924,6.666666666666667
Michalewicz,b_1.5,-7.499952746589144,-7.539908932068791,1.1235303026237666,0.0
Michalewicz,b_2.0,-7.799903789272004,-7.9422377105556246,1.1935192315906318,0.0
Michalewicz,b_2.5,-8.016706268878954,-7.99241601954817,1.4311404348555858,6.666666666666667
Zakharov,b_0.5,119.7023626882517,126.69967121965001,36.05242851490263,0.0
Zakharov,b_1.0,79.344407492121,82.31765393292659,32.520479003293474,0.0
Zakharov,b_1.5,38.583644308070916,35.12609375068878,16.41532439161635,0.0
Zakharov,b_2.0,22.885380453274376,20.698248828863555,9.872418179569962,0.0
Zakharov,b_2.5,22.033318320937624,19.64074917347854,10.861084022255753,0.0
Dixon_price,b_0.5,4397.212702190691,2844.0802423648884,4266.079311278535,0.0
Dixon_price,b_1.0,850.3573267858785,400.6280501296733,1160.0149675684868,0.0
Dixon_price,b_1.5,191.8849574830173,124.70443443948061,264.66883955374755,0.0
Dixon_price,b_2.0,133.83122848965974,114.22961296985511,92.04807182069707,0.0
Dixon_price,b_2.5,143.8571903058835,136.40497222136077,97.767440184093,0.0
Levy,b_0.5,56.38531392062796,55.06314393574221,16.367198064511104,0.0
Levy,b_1.0,60.14908890592975,56.945848803731295,16.126685392445925,0.0
Levy,b_1.5,57.3552782315783,56.83156047304868,14.184145259264307,0.0
Levy,b_2.0,52.80250986850352,49.64874235399414,14.822454187105043,0.0
Levy,b_2.5,58.134520301985965,55.651332546406735,13.458021935156744,0.0
