Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,p_0.4,3.4134928300229306,3.399229653742682,2.043560336336201,0.0
Sphere,p_0.5,8.121682925092953,5.29505857718301,5.610012161184726,0.0
Sphere,p_0.6,5.473824577059785,5.743182048116209,1.4458498358075873,0.0
Rosenbrock,p_0.4,970.9752973423458,703.7788270622185,651.7862718384423,0.0
Rosenbrock,p_0.5,2272.412599448048,1450.6641867400135,1747.794374252065,0.0
Rosenbrock,p_0.6,1467.8143066500852,1478.7939099778634,781.7359512565408,0.0
Rastrigin,p_0.4,67.07293659181252,60.569365266789305,25.373042989405988,0.0
Rastrigin,p_0.5,71.34161859262926,67.57232583220329,18.13136923786179,0.0
Rastrigin,p_0.6,60.83008932981291,50.615380165701424,19.286997876051853,0.0
Schwefel,p_0.4,837.527004686591,758.6726702784626,232.51419147126242,0.0
Schwefel,p_0.5,956.5668426994777,893.4819153139624,267.92708726197526,0.0
Schwefel,p_0.6,948.3013187503038,1341.998373399932,489.3801344174004,0.0
Ackley,p_0.4,17.934176849618648,18.392016256829187,2.1862564294201587,0.0
Ackley,p_0.5,17.951507061769416,18.409516007610808,1.191353877907802,0.0
Ackley,p_0.6,17.458647393004917,17.807467042732483,1.5768744851924097,0.0
Griewank,p_0.4,11.83272069403029,11.710545466734605,7.545268691047224,0.0
Griewank,p_0.5,27.823595158181682,19.50417468135313,17.911040109739012,0.0
Griewank,p_0.6,20.998156447752663,14.362815058832672,11.657169838896305,0.0
Michalewicz,p_0.4,-3.9317566841824414,-3.689019484920795,0.8125379760278836,0.0
Michalewicz,p_0.5,-3.5636014545567405,-3.563908508139463,0.5057035625292141,0.0
Michalewicz,p_0.6,-3.5804745336763113,-3.5304706682089444,0.6057974866540436,0.0
Zakharov,p_0.4,169.09628073818925,184.5970497687887,53.650173871431456,0.0
Zakharov,p_0.5,147.13165149858628,137.37219984620464,26.793815174113035,0.0
Zakharov,p_0.6,136.16524993517402,150.01606698409802,45.668215692298745,0.0
Dixon_price,p_0.4,5468.765387923974,6937.6886300592405,4265.740464742816,0.0
Dixon_price,p_0.5,11331.176204674,12765.339736472692,5470.483777063745,0.0
Dixon_price,p_0.6,5956.289672526542,2970.2324078610036,7505.444403445686,0.0
Levy,p_0.4,23.04343623595485,16.966423924777963,14.434913601236817,0.0
Levy,p_0.5,17.97453028905007,14.570404966170846,6.1725630791734245,0.0
Levy,p_0.6,20.946143098167433,16.129636507592434,18.454304365824143,0.0
