Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,N_10,110.07975793765894,111.78410196499752,16.450108285369588,0.0
Sphere,N_20,67.2173175506261,68.98961921597353,16.88130319664912,0.0
Sphere,N_40,17.070520637703474,14.99202112369596,8.039886896070094,0.0
Sphere,N_80,1.8408237585329332,1.6024266081580985,0.8208925595233967,0.0
Sphere,N_100,0.8440458599728912,0.6576724427378839,0.6383380605872195,0.0
Sphere,N_160,0.10543855271743485,0.07334461016426434,0.08428701494241204,0.0
Sphere,N_200,0.05397635517920894,0.03394995710478563,0.0506730571503908,0.0
Rosenbrock,N_10,544331.7997071878,574310.5028948204,161457.28873985042,0.0
Rosenbrock,N_20,272781.03860691667,275086.1488025449,96709.25379299473,0.0
Rosenbrock,N_40,40917.82586447196,33431.65439518943,29868.99986464749,0.0
Rosenbrock,N_80,3234.6078426456234,1988.073633530041,2498.6260400468623,0.0
Rosenbrock,N_100,1737.4897013353677,1389.8248621933508,1378.9039732812491,0.0
Rosenbrock,N_160,526.5741915224557,485.2025643568087,418.9604440990598,0.0
Rosenbrock,N_200,283.45259390909683,256.91009561486356,156.43156394390027,0.0
Rastrigin,N_10,338.76402737557794,331.86558495594625,28.190903409108408,0.0
Rastrigin,N_20,323.04103123611924,316.8778381233173,33.115477040886205,0.0
Rastrigin,N_40,302.03250615250704,307.4572006208565,42.4831883189639,0.0
Rastrigin,N_80,236.64056088248577,235.61510475118357,42.54056901972694,0.0
Rastrigin,N_100,234.91519794261194,242.13150019815762,33.5756905493192,0.0
Rastrigin,N_160,193.6008805147234,182.99636197570624,43.97556381900823,0.0
Rastrigin,N_200,199.45823508290687,194.7890520805374,39.45391472145907,0.0
Schwefel,N_10,6826.411743958228,6726.836061971844,1359.8078656034038,0.0
Schwefel,N_20,5416.879798341422,5486.68953861182,870.62534084719,0.0
Schwefel,N_40,4464.095547345672,4164.991510829239,1233.4894190717682,0.0
Schwefel,N_80,4456.769452718815,4414.880094758032,1581.1183962484724,0.0
Schwefel,N_100,3698.656830370584,3773.824337244707,1589.2764512667236,0.0
Schwefel,N_160,3514.327689983523,3464.4607162378506,1454.3460676636269,0.0
Schwefel,N_200,2958.415909606204,2824.4445907184236,1161.1137982931577,0.0
Ackley,N_10,20.175486712356967,20.117532594587594,0.3465115347571825,0.0
Ackley,N_20,20.05097559676949,20.008432898239974,0.3105102426342316,0.0
Ackley,N_40,19.809576298403723,19.79956386006696,0.33713893101221587,0.0
Ackley,N_80,19.621570249512292,19.72133462903148,0.4534376394751761,0.0
Ackley,N_100,19.50796834929783,19.70625731018231,0.48582653299420153,0.0
Ackley,N_160,19.2084573061983,19.30245341638388,0.579494637944994,0.0
Ackley,N_200,19.016199300737334,19.035490134457334,0.5413754774888339,0.0
Griewank,N_10,378.93585526275547,384.78025725424754,56.46718646799656,0.0
Griewank,N_20,231.59091838447904,237.85706060397501,57.84056537570605,0.0
Griewank,N_40,59.47246856273622,52.47102171434295,27.653977141558745,0.0
Griewank,N_80,7.498547723811433,6.361195938995284,4.314965455849074,0.0
Griewank,N_100,3.837163795423787,3.403298529832342,1.7759664761575664,0.0
Griewank,N_160,1.3722687949469157,1.3072969889287434,0.26619082610200656,0.0
Griewank,N_200,1.3044715712372412,1.1389147849079855,0.6460683421430521,0.0
Michalewicz,N_10,-5.541894620242501,-5.415957230274259,0.9984545324951183,0.0
Michalewicz,N_20,-6.034137890458651,-5.934995830069177,0.758728981392221,0.0
Michalewicz,N_40,-6.361512432799164,-6.177233996630681,1.0338382730474907,0.0
Michalewicz,N_80,-6.812656975702305,-6.442608812616966,1.3101515597192077,0.0
Michalewicz,N_100,-7.404243058889489,-7.4048229336515465,1.040559567532166,0.0
Michalewicz,N_160,-7.7322434847772845,-7.866842674458285,1.3267015912336688,0.0
Michalewicz,N_200,-7.623950908724405,-7.6811309843643185,1.2956076887718946,3.3333333333333335
Zakharov,N_10,581.5075480981159,502.28641466071673,256.79817148052547,0.0
Zakharov,N_20,392.69231558883314,382.37169290684625,67.22012888231373,0.0
Zakharov,N_40,285.6542343821305,278.4633833375454,53.31448132829931,0.0
Zakharov,N_80,133.42089112353057,132.45736114963398,37.62652379637134,0.0
Zakharov,N_100,110.612304779191,119.00130053801993,37.9313620781188,0.0
Zakharov,N_160,37.15941591436618,34.05587086546642,16.677968544417247,0.0
Zakharov,N_200,20.897227850943228,17.408595029931263,12.432415162002084,0.0
Dixon_price,N_10,719403.2404363839,710247.2132962849,252395.89777961862,0.0
Dixon_price,N_20,390281.1048927632,357458.79898703087,142364.0376319999,0.0
Dixon_price,N_40,53689.35534140833,44786.76825846302,38836.58111597002,0.0
Dixon_price,N_80,1900.600581200252,1748.446597434252,1416.23666040314,0.0
Dixon_price,N_100,1063.4110818672868,789.2911974221333,1078.8644496111892,0.0
Dixon_price,N_160,255.8831649475613,167.39386258248152,298.3546133762979,0.0
Dixon_price,N_200,150.1030992947475,131.0746050361686,87.39552255865175,0.0
Levy,N_10,125.11414082085727,117.82886252385217,26.9321717402961,0.0
Levy,N_20,110.78575126557612,101.46219003158332,33.83432768921557,0.0
Levy,N_40,93.2493210978985,87.5768759286009,33.54874514304695,0.0
Levy,N_80,73.83864886158334,69.9085729038218,22.236922606154618,0.0
Levy,N_100,64.49388585277899,63.998859435217554,15.754521223039555,0.0
Levy,N_160,56.287988377849715,50.67231960938322,19.008401314975593,0.0
Levy,N_200,55.15950859824714,55.76300114124675,15.151163166293315,0.0
